date,time,temp_c,humidity_pct
2025-01-15,00:00,21.0,83
2025-01-15,00:15,22.3,78
2025-01-15,00:30,21.9,79
2025-01-15,00:45,24.6,77
2025-01-15,01:00,23.3,77
2025-01-15,01:15,25.8,74
2025-01-15,01:30,26.3,74
2025-01-15,01:45,27.8,76
2025-01-15,02:00,25.7,75
2025-01-15,02:15,28.4,73
2025-01-15,02:30,26.9,75
2025-01-15,02:45,28.7,70
2025-01-15,03:00,29.5,75
2025-01-15,03:15,30.5,72
2025-01-15,03:30,29.7,76
2025-01-15,03:45,31.0,72
2025-01-15,04:00,31.1,73
2025-01-15,04:15,30.2,70
2025-01-15,04:30,31.0,71
2025-01-15,04:45,31.5,69
2025-01-15,05:00,31.9,66
2025-01-15,05:15,33.2,64
2025-01-15,05:30,31.3,60
2025-01-15,05:45,31.0,65
2025-01-15,06:00,32.0,55
2025-01-15,06:15,32.7,57
2025-01-15,06:30,31.3,59
2025-01-15,06:45,33.2,52
2025-01-15,07:00,31.1,51
2025-01-15,07:15,31.3,52
2025-01-15,07:30,31.0,48
2025-01-15,07:45,30.7,52
2025-01-15,08:00,29.3,49
2025-01-15,08:15,28.9,46
2025-01-15,08:30,29.0,45
2025-01-15,08:45,28.5,43
2025-01-15,09:00,28.9,46
2025-01-15,09:15,27.7,49
2025-01-15,09:30,26.9,49
2025-01-15,09:45,27.8,45
2025-01-15,10:00,27.0,42
2025-01-15,10:15,25.6,45
2025-01-15,10:30,26.7,39
2025-01-15,10:45,25.0,41
2025-01-15,11:00,26.0,36
2025-01-15,11:15,25.3,38
2025-01-15,11:30,23.9,40
2025-01-15,11:45,21.6,40
2025-01-15,12:00,21.9,44
2025-01-15,12:15,22.8,44
2025-01-15,12:30,19.3,35
2025-01-15,12:45,19.1,37
2025-01-15,13:00,19.6,41
2025-01-15,13:15,17.5,37
2025-01-15,13:30,18.1,43
2025-01-15,13:45,16.1,38
2025-01-15,14:00,15.5,41
2025-01-15,14:15,15.6,45
2025-01-15,14:30,15.8,43
2025-01-15,14:45,14.3,48
2025-01-15,15:00,13.7,46
2025-01-15,15:15,13.7,44
2025-01-15,15:30,13.4,48
2025-01-15,15:45,13.7,50
2025-01-15,16:00,12.6,51
2025-01-15,16:15,14.2,56
2025-01-15,16:30,11.8,48
2025-01-15,16:45,12.7,53
2025-01-15,17:00,13.7,53
2025-01-15,17:15,11.4,60
2025-01-15,17:30,11.8,55
2025-01-15,17:45,12.4,53
2025-01-15,18:00,12.2,56
2025-01-15,18:15,12.6,57
2025-01-15,18:30,12.6,59
2025-01-15,18:45,12.0,59
2025-01-15,19:00,12.6,66
2025-01-15,19:15,12.1,69
2025-01-15,19:30,11.4,71
2025-01-15,19:45,13.9,67
2025-01-15,20:00,14.1,70
2025-01-15,20:15,14.8,75
2025-01-15,20:30,12.6,72
2025-01-15,20:45,13.8,68
2025-01-15,21:00,13.5,69
2025-01-15,21:15,16.2,77
2025-01-15,21:30,14.7,72
2025-01-15,21:45,17.1,76
2025-01-15,22:00,17.8,74
2025-01-15,22:15,16.3,78
2025-01-15,22:30,18.5,75
2025-01-15,22:45,18.7,81
2025-01-15,23:00,20.2,82
2025-01-15,23:15,19.6,76
2025-01-15,23:30,21.0,75
2025-01-15,23:45,22.4,77
2025-01-15,00:00,22.1,83
2025-01-15,00:15,21.5,83
2025-01-15,00:30,22.8,84
2025-01-15,00:45,25.1,83
2025-01-16,00:00,23.3,81
2025-01-16,00:15,21.9,76
2025-01-16,00:30,24.1,75
2025-01-16,00:45,23.0,75
2025-01-16,01:00,23.7,76
2025-01-16,01:15,26.7,74
2025-01-16,01:30,25.9,77
2025-01-16,01:45,27.7,79
2025-01-16,02:00,25.9,78
2025-01-16,02:15,27.2,72
2025-01-16,02:30,27.0,71
2025-01-16,02:45,27.7,70
2025-01-16,03:00,27.7,69
2025-01-16,03:15,30.2,71
2025-01-16,03:30,29.1,68
2025-01-16,03:45,29.7,72
2025-01-16,04:00,30.9,70
2025-01-16,04:15,29.6,65
2025-01-16,04:30,30.6,69
2025-01-16,04:45,31.2,64
2025-01-16,05:00,31.2,70
2025-01-16,05:15,31.4,63
2025-01-16,05:30,31.5,65
2025-01-16,05:45,32.2,62
2025-01-16,06:00,32.5,55
2025-01-16,06:15,31.9,57
2025-01-16,06:30,32.5,53
2025-01-16,06:45,33.2,58
2025-01-16,07:00,32.5,54
2025-01-16,07:15,32.7,52
2025-01-16,07:30,32.6,56
2025-01-16,07:45,29.9,46
2025-01-16,08:00,29.5,49
2025-01-16,08:15,31.5,46
2025-01-16,08:30,31.3,48
2025-01-16,08:45,29.3,46
2025-01-16,09:00,27.6,43
2025-01-16,09:15,29.7,43
2025-01-16,09:30,28.0,46
2025-01-16,09:45,26.3,41
2025-01-16,10:00,27.2,38
2025-01-16,10:15,26.4,45
2025-01-16,10:30,24.7,39
2025-01-16,10:45,24.0,43
2025-01-16,11:00,25.5,41
2025-01-16,11:15,23.2,38
2025-01-16,11:30,22.4,35
2025-01-16,11:45,23.9,40
2025-01-16,12:00,21.7,38
2025-01-16,12:15,20.3,35
2025-01-16,12:30,21.5,42
2025-01-16,12:45,18.9,43
2025-01-16,13:00,20.3,43
2025-01-16,13:15,17.8,42
2025-01-16,13:30,18.1,38
2025-01-16,13:45,17.4,38
2025-01-16,14:00,15.8,43
2025-01-16,14:15,15.7,46
2025-01-16,14:30,16.1,43
2025-01-16,14:45,14.3,46
2025-01-16,15:00,13.9,43
2025-01-16,15:15,15.1,45
2025-01-16,15:30,13.3,48
2025-01-16,15:45,12.4,47
2025-01-16,16:00,14.7,51
2025-01-16,16:15,11.8,54
2025-01-16,16:30,13.5,55
2025-01-16,16:45,12.2,52
2025-01-16,17:00,12.9,55
2025-01-16,17:15,11.1,56
2025-01-16,17:30,12.2,52
2025-01-16,17:45,10.7,56
2025-01-16,18:00,11.6,56
2025-01-16,18:15,10.9,61
2025-01-16,18:30,12.2,61
2025-01-16,18:45,11.8,68
2025-01-16,19:00,13.1,64
2025-01-16,19:15,12.6,64
2025-01-16,19:30,13.4,66
2025-01-16,19:45,14.1,68
2025-01-16,20:00,14.4,67
2025-01-16,20:15,12.9,69
2025-01-16,20:30,15.2,75
2025-01-16,20:45,14.1,72
2025-01-16,21:00,15.1,79
2025-01-16,21:15,16.1,73
2025-01-16,21:30,14.8,73
2025-01-16,21:45,16.8,76
2025-01-16,22:00,16.9,76
2025-01-16,22:15,19.0,74
